,_comment,batch_size,buffer_size,data,datasize,epochs,evaluation_interval,features,future_target,history,metric,name,past_history,rs,rs_global,score_train,score_val,step,target,tune,validation_steps
y2019_11m_06d_21h_06min_47s_504785_,,1,1000,v06_55min,med,1,2,"['col2', 'col3']",9,"{'ox_list': [1], 'oy_train_list': [0.18551313132047653], 'oy_val_list': [0.9972134828567505], 'title': 'tf_lstm_'}",mape,tf_lstm,6,2734,2734,inf,65.90062888391826,1,activity,,1
y2019_11m_07d_11h_25min_47s_630754_,,1,1000,v06_55min,med,1,2,"['col2', 'col3']",9,"{'ox_list': [1], 'oy_train_list': [0.18551313132047653], 'oy_val_list': [0.9972134828567505], 'title': 'tf_lstm_'}",mape,tf_lstm,6,2734,2734,inf,65.90062888391826,1,activity,,1
y2019_11m_07d_12h_24min_45s_431697_,,1,1000,v06_55min,med,1,2,"['col2', 'col3']",9,"{'ox_list': [1], 'oy_train_list': [0.18551313132047653], 'oy_val_list': [0.9972134828567505], 'title': 'tf_lstm_'}",mape,tf_lstm,6,2734,2734,inf,65.90062888391826,1,activity,,1
y2019_11m_07d_17h_50min_04s_927925_,,1,1000,v06_55min,med,1,2,"['col2', 'col3']",9,"{'ox_list': [1], 'oy_train_list': [0.18551313132047653], 'oy_val_list': [0.9972134828567505], 'title': 'tf_lstm_'}",mape,tf_lstm,6,2734,2734,inf,65.90062888391826,1,activity,,1
y2019_11m_07d_17h_51min_48s_660761_,,1,1000,v06_55min,med,1,2,"['col2', 'col3']",9,"{'ox_list': [1], 'oy_train_list': [0.18551313132047653], 'oy_val_list': [0.9972134828567505], 'title': 'tf_lstm_'}",mape,tf_lstm,6,2734,2734,inf,65.90062888391826,1,activity,,1
